name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
Soak up the Scandi Style at a Pastel-Hued Østerbro Pad,,sterbro,55.70868,12.57317,Entire home/apt,1350.0,4,117,0.94,1,0,7,
Nice room in central Copenhagen,,Vesterbro-Kongens Enghave,55.66791,12.55117,Private room,422.0,3,268,2.17,1,307,28,
Bright and spacious apartment with balcony,,Nrrebro,55.69253,12.55971,Entire home/apt,700.0,4,18,0.14,1,0,0,
"Charming, artistic and cosy apartment!",,Vesterbro-Kongens Enghave,55.66701,12.54965,Entire home/apt,679.0,4,32,0.26,1,0,0,
Nordic Loft Christianshavn,,Indre By,55.67209,12.5894,Entire home/apt,1785.0,2,154,1.49,1,249,20,
"Unique house in ""Kartoffelrækkerne""",,Indre By,55.69145,12.57405,Entire home/apt,1600.0,5,11,0.09,1,0,0,
Nordic city atmosphere in green oasis,,sterbro,55.70195,12.57677,Entire home/apt,980.0,5,15,0.12,1,81,5,
Cosy 2 room apt. with roof terrace,,sterbro,55.70809,12.58299,Entire home/apt,818.0,5,23,0.19,1,0,4,
Extraordinary Apartment,,Frederiksberg,55.67552,12.53727,Entire home/apt,2450.0,3,26,0.26,1,339,9,
Charming apt. in Christianshavn,,Indre By,55.67204,12.58986,Entire home/apt,1500.0,4,14,0.11,1,173,0,
Large apartment on central Amager,,Amager Vest,55.65807,12.60758,Entire home/apt,900.0,1,39,0.32,1,118,14,
Huge house - beach and Copenhagen,,sterbro,55.73247,12.56629,Entire home/apt,3000.0,6,55,0.45,1,51,3,
Spacious & Central Copenhagen Home,,Vesterbro-Kongens Enghave,55.67159,12.55736,Entire home/apt,1004.0,5,13,0.11,1,0,0,
"Luxury  apartment, Islands Brygge",,Amager Vest,55.66709,12.58084,Entire home/apt,4752.0,2,7,0.06,1,324,1,
"Nordic, Green Penthouse with Balcony",,sterbro,55.7095,12.5825,Entire home/apt,1286.0,7,105,0.85,1,87,2,
Calm and charming city home,,sterbro,55.71073,12.58207,Entire home/apt,950.0,5,6,0.06,1,235,3,
At the heart of charming Vesterbro and Copenhagen,,Vesterbro-Kongens Enghave,55.66634,12.55771,Private room,464.0,3,92,0.9,3,279,26,
Fantastic flat with a balcony,,Frederiksberg,55.68449,12.5395,Entire home/apt,1350.0,4,138,1.13,1,248,14,
Amazing view - Julien De Smedt duplex penthouse,,Amager Vest,55.63514,12.58297,Entire home/apt,1286.0,1,15,0.2,1,135,13,
Uniquely Decorated Copenhagen Apartment,,sterbro,55.69326,12.5681,Entire home/apt,693.0,4,58,0.47,1,2,5,
"Lovely apt w balcony, cool Nørrebro",,Nrrebro,55.69753,12.55029,Entire home/apt,375.0,3,41,0.33,1,0,4,
Big bright apartment in Vesterbro,,Vesterbro-Kongens Enghave,55.66863,12.54604,Entire home/apt,1250.0,2,19,0.17,2,0,3,
Tour de France - Timetravel - Window View,,Nrrebro,55.69286,12.56578,Entire home/apt,1100.0,3,26,0.22,1,0,4,
Copenhagen City Duplex,,Indre By,55.69067,12.57576,Entire home/apt,1376.0,5,77,0.63,1,4,7,
Sunny flat with 2 balconies,,Vesterbro-Kongens Enghave,55.66327,12.54898,Entire home/apt,1041.0,6,13,0.17,1,81,0,
Charming old boutique apartment,,Indre By,55.67007,12.59399,Entire home/apt,1339.0,2,32,0.31,1,270,5,
Summer in Copenhagen - FREE parking,,Nrrebro,55.695,12.54616,Entire home/apt,750.0,1,0,,1,0,0,
Spacious place - heart of the city,,Indre By,55.6827,12.57309,Entire home/apt,1899.0,2,70,0.58,1,40,0,
Charming Poetic Christianshavn,,Indre By,55.675,12.5905,Entire home/apt,350.0,80,9,0.07,1,89,0,
Cosy light room in Frederiksberg,,Frederiksberg,55.67918,12.50768,Private room,457.0,3,116,1.06,1,298,1,
"Penthouse apt. at beautiful, central Vesterbro",,Vesterbro-Kongens Enghave,55.66643,12.55064,Entire home/apt,1350.0,3,48,0.39,1,267,8,
Vesterbro close to central station.,,Vesterbro-Kongens Enghave,55.66337250110408,12.543987001747077,Private room,354.0,1,19,0.16,3,48,13,
Cosy place with great location!,,Indre By,55.69639,12.58434,Entire home/apt,1093.0,2,109,0.98,1,0,2,
Close to Central St - quiet room,,Vesterbro-Kongens Enghave,55.66453,12.54927,Private room,700.0,1,1,0.01,3,365,0,
Cosy studio wiewing  Marble dome,,Indre By,55.6879,12.5892,Private room,900.0,2,116,1.12,2,284,7,
Big apartment with park view and prime location,,Indre By,55.69104026464937,12.57639634657512,Entire home/apt,2100.0,2,5,1.74,1,40,5,
COPENHAGEN APARTMENT with Unique Garden,,Amager st,55.64982,12.61352,Entire home/apt,2000.0,5,5,0.07,1,358,0,
Enjoy the heart of Vesterbro,,Vesterbro-Kongens Enghave,55.66538,12.55429,Entire home/apt,1000.0,5,21,0.17,1,178,3,
Charming balcony with canal view,,Indre By,55.67308,12.59132,Entire home/apt,909.0,6,87,0.72,1,44,0,
Fully furnished apartment in Valby,,Valby,55.66757,12.50589,Entire home/apt,719.0,1,148,1.34,1,0,4,
Family friendly central CITY house w. small garden,,Frederiksberg,55.68332,12.54934,Entire home/apt,1535.0,4,55,0.5,1,8,2,
Charming 4 room Frederiksberg flat,,Frederiksberg,55.68423,12.52943,Entire home/apt,1800.0,6,41,0.34,1,267,2,
A true Copenhagen Apartment,,Amager Vest,55.66639,12.59773,Private room,414.0,3,22,0.18,2,80,0,
Large & light flat in central Cph,,Nrrebro,55.68834,12.55067,Entire home/apt,900.0,4,33,0.29,1,3,4,
Lovely country house in Copenhagen,,Valby,55.66619,12.52085,Entire home/apt,1150.0,21,6,0.09,1,235,1,
Central Copenhagen Top floor 105m2,,Nrrebro,55.69747,12.55197,Entire home/apt,1339.0,3,105,0.86,1,264,9,
Child friendly & Garden & free bikes/parking,,Vanlse,55.69608,12.49629,Entire home/apt,900.0,4,14,0.13,1,47,1,
Beautiful penthouse w. sunny terrasse in cool area,,Vesterbro-Kongens Enghave,55.66793,12.54609,Entire home/apt,1487.0,3,43,0.35,1,18,6,
Close by waterfront & city center,,Amager Vest,55.66827,12.58085,Private room,411.0,4,134,1.11,1,1,6,
Charming old house in Copenhagen,,Brnshj-Husum,55.70394,12.48354,Entire home/apt,1800.0,3,15,0.13,1,82,1,
1 Bedroom Apartment 5 min to Centre,,Indre By,55.69001,12.57315,Entire home/apt,1115.0,3,8,0.09,1,0,0,
Flat near city lakes in central CPH,,Indre By,55.68292,12.56325,Entire home/apt,1000.0,5,16,0.15,1,0,1,
Christianshavn Central Copenhagen,,Indre By,55.67112,12.59165,Entire home/apt,1600.0,3,44,0.37,1,56,6,
"130 m2 near Cph. Center, beach, private garden",,Amager st,55.65286,12.62752,Entire home/apt,1100.0,6,17,0.14,1,0,0,
